Timestamp,Value
2022-01-18T00:01:00.000000,0.8
2022-01-18T00:06:00.000000,0.8
2022-01-18T00:11:00.000000,0.8
2022-01-18T00:16:00.000000,0.8
2022-01-18T00:21:00.000000,0.8
2022-01-18T00:26:00.000000,0.9
2022-01-18T00:31:00.000000,1.0
2022-01-18T00:36:00.000000,0.7
2022-01-18T00:41:00.000000,0.2
2022-01-18T00:46:00.000000,0.0
2022-01-18T00:51:00.000000,0.4
2022-01-18T00:56:00.000000,1.4
2022-01-18T01:01:00.000000,1.8
2022-01-18T01:06:00.000000,1.2
2022-01-18T01:11:00.000000,0.8
2022-01-18T01:16:00.000000,0.9
2022-01-18T01:21:00.000000,0.7
2022-01-18T01:26:00.000000,0.4
2022-01-18T01:31:00.000000,0.4
2022-01-18T01:36:00.000000,0.6
2022-01-18T01:41:00.000000,0.7
2022-01-18T01:46:00.000000,0.6
2022-01-18T01:51:00.000000,0.7
2022-01-18T01:56:00.000000,0.7
2022-01-18T02:01:00.000000,0.6
2022-01-18T02:06:00.000000,0.6
2022-01-18T02:11:00.000000,0.7
2022-01-18T02:16:00.000000,0.6
2022-01-18T02:21:00.000000,0.4
2022-01-18T02:26:00.000000,0.5
2022-01-18T02:31:00.000000,0.6
2022-01-18T02:36:00.000000,0.6
2022-01-18T02:41:00.000000,0.5
2022-01-18T02:46:00.000000,0.7
2022-01-18T02:51:00.000000,0.7
2022-01-18T02:56:00.000000,0.5
2022-01-18T03:01:00.000000,0.6
2022-01-18T03:06:00.000000,0.5
2022-01-18T03:11:00.000000,0.4
2022-01-18T03:16:00.000000,0.4
2022-01-18T03:21:00.000000,0.2
2022-01-18T03:26:00.000000,0.1
2022-01-18T03:31:00.000000,0.1
2022-01-18T03:36:00.000000,0.1
2022-01-18T03:41:00.000000,0.3
2022-01-18T03:46:00.000000,0.3
2022-01-18T03:51:00.000000,0.2
2022-01-18T03:56:00.000000,0.3
2022-01-18T04:01:00.000000,0.2
2022-01-18T04:06:00.000000,0.0
2022-01-18T04:11:00.000000,0.1
2022-01-18T04:16:00.000000,0.5
2022-01-18T04:21:00.000000,0.4
2022-01-18T04:26:00.000000,0.0
2022-01-18T04:31:00.000000,-0.1
2022-01-18T04:36:00.000000,-0.2
2022-01-18T04:41:00.000000,-0.3
2022-01-18T04:46:00.000000,-0.4
2022-01-18T04:51:00.000000,-0.4
2022-01-18T04:56:00.000000,-0.4
2022-01-18T05:01:00.000000,-0.4
2022-01-18T05:06:00.000000,-0.8
2022-01-18T05:11:00.000000,-1.0
2022-01-18T05:16:00.000000,-0.7
2022-01-18T05:21:00.000000,-0.6
2022-01-18T05:26:00.000000,-0.5
2022-01-18T05:31:00.000000,-0.4
2022-01-18T05:36:00.000000,-0.3
2022-01-18T05:41:00.000000,-0.3
2022-01-18T05:46:00.000000,-2.0
2022-01-18T05:51:00.000000,-2.1
2022-01-18T05:56:00.000000,0.3
2022-01-18T06:01:00.000000,-0.5
2022-01-18T06:06:00.000000,-2.5
2022-01-18T06:11:00.000000,-1.4
2022-01-18T06:16:00.000000,0.0
2022-01-18T06:21:00.000000,-0.2
2022-01-18T06:26:00.000000,0.4
2022-01-18T06:31:00.000000,4.5
2022-01-18T06:36:00.000000,5.1
2022-01-18T06:41:00.000000,2.2
2022-01-18T06:46:00.000000,1.6
2022-01-18T06:51:00.000000,-0.5
2022-01-18T06:56:00.000000,-2.4
2022-01-18T07:01:00.000000,-1.8
2022-01-18T07:06:00.000000,-1.0
2022-01-18T07:11:00.000000,-0.2
2022-01-18T07:16:00.000000,0.1
2022-01-18T07:21:00.000000,-0.6
2022-01-18T07:26:00.000000,0.0
2022-01-18T07:31:00.000000,1.5
