epoch,critic_loss,actor_loss,alpha_loss,alpha_value,cql_penalty,avg_q,avg_entropy,actions_mean,actions_std
1,2.93988356590271,-0.17816553238158425,0.12998779654502868,1.0564544200897217,14.74985289891561,-0.5440826358397802,0.6753553322950999,-0.021408135071396828,0.5893267393112183
2,2.2320956230163573,0.23888730405519407,0.054409497156739234,1.010175347328186,15.136273988087972,-0.9182156213124593,0.6645513852437337,-0.07942768931388855,0.5769842267036438
3,2.131974847316742,0.6240619252125422,-0.019258930568757934,0.9664849042892456,15.6227667872111,-1.240477530558904,0.6309997097651163,-0.129339337348938,0.5640041828155518
4,2.177896201610565,0.9981893793741862,-0.09032995231449605,0.9247866868972778,16.145854880015055,-1.5718832890192667,0.6141950249671936,-0.14636939764022827,0.555670976638794
5,2.3148336013158164,1.3935646891593934,-0.15957996279001235,0.8850460648536682,16.68255833943685,-1.92604390223821,0.5961646179358164,-0.16350509226322174,0.5484287738800049
6,2.4890922101338706,1.8042147699991862,-0.22733705927928288,0.8471214175224304,17.210080159505207,-2.299966441790263,0.5804110936323802,-0.17824091017246246,0.5391567945480347
7,2.6982492939631144,2.233397465546926,-0.2930213260650635,0.8109517097473145,17.712733383178712,-2.692647724151611,0.5622401436169943,-0.18481741845607758,0.5298435688018799
8,2.888299264907837,2.6692339531580607,-0.35626282850901286,0.7765304446220398,18.160356686909992,-3.092446244557699,0.5417694584528605,-0.19395005702972412,0.5207491517066956
9,3.031173377037048,3.0890949869155886,-0.4175888532400131,0.7436981201171875,18.519858907063803,-3.4791562684377033,0.5220625374714534,-0.2010297328233719,0.5101123452186584
10,3.106782911618551,3.477237901687622,-0.4775877573092778,0.7123627066612244,18.771143213907877,-3.837694756189982,0.5043670797348022,-0.1942119151353836,0.5069858431816101
11,3.1248173316319785,3.8359194819132485,-0.5363853138685226,0.6824178099632263,18.95341771443685,-4.169590538342794,0.4880905443429947,-0.18860861659049988,0.5044450163841248
12,3.1174357906977335,4.178591597874959,-0.591437630256017,0.6539046764373779,19.08502081553141,-4.483592128753662,0.46657766997814176,-0.18566782772541046,0.5044883489608765
13,3.0983438428243,4.510496689478557,-0.6447740817070007,0.6266921162605286,19.16620755513509,-4.789369726181031,0.44606560945510865,-0.17928411066532135,0.5030933618545532
14,3.0792297474543253,4.820476102828979,-0.698131928841273,0.6006614565849304,19.192198994954428,-5.077365595499675,0.42959004521369937,-0.18001815676689148,0.5005277395248413
15,3.071192857424418,5.126917556126912,-0.7503419903914134,0.5757376551628113,19.188513743082684,-5.363553473154703,0.4137699836492538,-0.1813456416130066,0.49765264987945557
16,3.056398310661316,5.424049390157064,-0.8049790445963542,0.5517981648445129,19.117123540242513,-5.645340140660604,0.4044721990823746,-0.18462252616882324,0.4926248788833618
17,3.0316479301452635,5.713848559061686,-0.8583614826202393,0.5288181900978088,19.025343437194824,-5.920095491409302,0.3942042060693105,-0.1858675330877304,0.49100208282470703
