epoch,critic_loss,actor_loss,alpha_loss,alpha_value,cql_penalty,avg_q,avg_entropy,actions_mean,actions_std
1,3.3485138432184853,-0.2430419272184372,0.12841861456632614,1.0560927391052246,14.737929147084554,-0.4630506141980489,0.6609013680617014,-0.013433241285383701,0.6014328598976135
2,2.472733809153239,0.03127770194473366,0.053800662346184254,1.0093358755111694,15.080004615783691,-0.7234817230701447,0.677743053038915,0.0023614075034856796,0.5858818888664246
3,2.2649956051508586,0.3154305252432823,-0.02203950477851322,0.9647805094718933,15.490545692443847,-0.976551769177119,0.6774524923165639,-0.013944057747721672,0.5845573544502258
4,2.23050981203715,0.6223781192302704,-0.09705921523272991,0.922400712966919,15.995660845438639,-1.2459832723935444,0.6687351421515146,-0.05349310487508774,0.5803468227386475
5,2.2996344645818074,0.9385941569010416,-0.1705474390586217,0.8821170330047607,16.57231071472168,-1.52375212987264,0.6566406532128652,-0.07851534336805344,0.5768004059791565
6,2.4381697257359822,1.2768573812643687,-0.24283444623152414,0.8437221646308899,17.151895484924317,-1.827121982574463,0.6460271902879079,-0.1033334732055664,0.5731031894683838
7,2.6245521958669027,1.6293021512031556,-0.31357803563276926,0.8071401715278625,17.696433092753093,-2.1453215074539185,0.6337566069761912,-0.12456206232309341,0.5687715411186218
8,2.8142701148986817,1.9816839957237244,-0.38338552554448446,0.7722392678260803,18.235345891316733,-2.46680419921875,0.6231960570812225,-0.14055094122886658,0.5670475363731384
9,2.9904442469278973,2.325660657087962,-0.4497472059726715,0.7390615344047546,18.711086235046388,-2.775738237698873,0.6048307832082113,-0.12963615357875824,0.568299412727356
10,3.126784167289734,2.65242387453715,-0.513452489177386,0.7075358033180237,19.117573293050132,-3.068412706057231,0.5847190821170807,-0.13303659856319427,0.5687618255615234
11,3.2104124514261883,2.9355294068654376,-0.5760892152786254,0.6774737238883972,19.41686321258545,-3.3216640535990396,0.5675682620207468,-0.11867214739322662,0.5712302923202515
12,3.26863405863444,3.200914003054301,-0.6344765202204387,0.6489044427871704,19.645407638549806,-3.5552065245310467,0.5446365541219711,-0.11344269663095474,0.5744372010231018
13,3.2998966137568155,3.4555796273549397,-0.6921174983183543,0.621659517288208,19.80288764953613,-3.7824537420272826,0.5253339449564616,-0.10196779668331146,0.5757036209106445
14,3.3343916082382203,3.699791898727417,-0.7498006105422974,0.5956149101257324,19.91555690765381,-4.003266630172729,0.5098907146851221,-0.09161302447319031,0.5791823267936707
15,3.3419121154149374,3.9446720933914183,-0.8099124721686045,0.570612907409668,19.98744052886963,-4.230196124712626,0.5013940441608429,-0.0865459069609642,0.5817164778709412
16,3.354627021153768,4.189536650975545,-0.8666238558292388,0.5466617345809937,20.025608978271485,-4.45544882774353,0.4882243704795837,-0.07991869002580643,0.5811479091644287
